ID,Province,Prefecture,County,Website
98,Heilongjiang,Jixi City,Hengshan District,http://didao.jixi.gov.cn/
99,Heilongjiang,Jixi City,Didao District,http://didao.jixi.gov.cn/
100,Heilongjiang,Jixi City,Lishu District,http://www.lishu.gov.cn/
101,Heilongjiang,Jixi City,Chengzihe District,
102,Heilongjiang,Jixi City,Mashan District,http://mashan.jixi.gov.cn/
103,Heilongjiang,Jixi City,Hulin City,http://www.hljhulin.gov.cn/
104,Heilongjiang,Jixi City,Mishan City,http://www.hljms.gov.cn/
105,Heilongjiang,Jixi City,Jidong County,http://www.jidong.gov.cn/
106,Heilongjiang,Mudanjiang City,Aimin District,http://www.aimin.gov.cn/index.asp
107,Heilongjiang,Mudanjiang City,Dong'an District,http://www.dongan.gov.cn/
108,Heilongjiang,Mudanjiang City,Yangming District,http://www.yangming.gov.cn/
109,Heilongjiang,Mudanjiang City,Xi'an District,http://www.mdjxa.gov.cn/
110,Heilongjiang,Mudanjiang City,Muling City,http://www.muling.gov.cn/
111,Heilongjiang,Mudanjiang City,Suifenhe City,http://www.suifenhe.gov.cn/
112,Heilongjiang,Mudanjiang City,Hailin City,http://www.hailin.gov.cn/
113,Heilongjiang,Mudanjiang City,Ning'an City,http://www.ningan.gov.cn/
114,Heilongjiang,Mudanjiang City,Dongning County,http://www.dongning.gov.cn/
115,Heilongjiang,Mudanjiang City,Linkou County,http://www.hllinkou.gov.cn/
116,Heilongjiang,Suihua City,Beilin District,http://www.hljbeilin.gov.cn/
117,Heilongjiang,Suihua City,Anda City,http://www.hlanda.gov.cn/
118,Heilongjiang,Suihua City,Zhaodong City,http://www.hljzhaodong.gov.cn/
119,Heilongjiang,Suihua City,Hailun City,http://www.hailun.gov.cn/
120,Heilongjiang,Suihua City,Wangkui County,http://www.hlwangkui.gov.cn/
121,Heilongjiang,Suihua City,Lanxi County,http://www.hljlanxi.gov.cn/index1.htm
122,Heilongjiang,Suihua City,Qinggang County,http://www.qgnet.gov.cn/
123,Heilongjiang,Suihua City,Qing'an County,http://www.hljqingan.gov.cn/
124,Heilongjiang,Suihua City,Mingshui County,http://ms.shxxg.com.cn/
125,Heilongjiang,Suihua City,Suileng County,http://www.chinasuiling.com/
126,Heilongjiang,Daxing'anling Prefecture,Jiagedaqi District,http://www.jgdq.gov.cn/
127,Heilongjiang,Daxing'anling Prefecture,Songling District,http://www.songling.gov.cn/
128,Heilongjiang,Daxing'anling Prefecture,Huzhong District,http://www.huzhong.com.cn/
129,Heilongjiang,Daxing'anling Prefecture,Xinlin District,http://www.dxalxl.gov.cn/
130,Heilongjiang,Daxing'anling Prefecture,Huma County,http://www.huma.gov.cn/
131,Heilongjiang,Daxing'anling Prefecture,Tahe County,http://tahe.dxal.hl.cn/
132,Heilongjiang,Daxing'anling Prefecture,Mohe County,http://www.hlmohe.gov.cn/
133,Jilin,Changchun City,Chaoyang District,http://www.ccchaoyang.gov.cn/
134,Jilin,Changchun City,Kuancheng District,http://www.cckc.gov.cn/
135,Jilin,Changchun City,Erdao District,http://www.ccerdao.gov.cn/
136,Jilin,Changchun City,Nanguan District,http://www.ccng.gov.cn/
137,Jilin,Changchun City,Luyuan District,http://www.luyuan.gov.cn/
138,Jilin,Changchun City,Shuangyang District,http://www.shuangyang.gov.cn/
139,Jilin,Changchun City,Jiutai City,http://www.jiutai.gov.cn/
140,Jilin,Changchun City,Yushu City,http://bbs.yushu.gov.cn/viewthread.php?tid=15683668&sid=C1fERz
141,Jilin,Changchun City,Dehui City,http://www.dehui.gov.cn/
142,Jilin,Changchun City,Nong'an County,http://www.nong-an.gov.cn/
143,Jilin,Jilin City,Chuanying District,http://www.jlcy.gov.cn/
144,Jilin,Jilin City,Changyi District,http://www.jlscy.gov.cn/
145,Jilin,Jilin City,Longtan District,http://www.longtan.gov.cn/
146,Jilin,Jilin City,Fengman District,http://www.jlfm.gov.cn/
147,Jilin,Jilin City,Shulan City,http://www.shulan.gov.cn/
148,Jilin,Jilin City,Huadian City,http://www.huadian.gov.cn/
149,Jilin,Jilin City,Jiaohe City,http://www.jiaohe.gov.cn/
150,Jilin,Jilin City,Panshi City,http://www.panshi.gov.cn/
151,Jilin,Jilin City,Yongji County,http://www.jlyj.gov.cn/
152,Jilin,Siping City,Tiexi District,http://www.sptxq.gov.cn/
153,Jilin,Siping City,Tiedong District,http://www.jlsptd.gov.cn/
154,Jilin,Siping City,Gongzhuling City,http://www.gongzhuling.gov.cn/
155,Jilin,Siping City,Shuangliao City,http://www.shuangliao.gov.cn/
156,Jilin,Siping City,Lishu County,http://www.lishu.gov.cn/
157,Jilin,Siping City,Yitong Manchu Autonomous County,http://www.yitong.gov.cn/
158,Jilin,Liaoyuan City,Longshan District,http://www.jllyls.gov.cn/
159,Jilin,Liaoyuan City,Xi'an District,http://www.lyxa.gov.cn/
160,Jilin,Liaoyuan City,Dongliao County,http://www.dongliao.gov.cn/
161,Jilin,Liaoyuan City,Dongfeng County,http://www.dongfeng.gov.cn/
162,Jilin,Tonghua City,Dongchang District,http://dc.gov.cn/
163,Jilin,Tonghua City,Erdaojiang District,http://www.edj.gov.cn/
164,Jilin,Tonghua City,Meihekou City,http://www.mhk.gov.cn/
165,Jilin,Tonghua City,Ji'an City,http://www.jilinja.gov.cn/
166,Jilin,Tonghua City,Tonghua County,http://www.tonghua.gov.cn/
167,Jilin,Tonghua City,Huinan County,http://www.huinanxian.gov.cn/
168,Jilin,Tonghua City,Liuhe County,http://www.jllh.gov.cn/
169,Jilin,Baishan City,Badaojiang District,http://www.bdj.gov.cn/
170,Jilin,Baishan City,Jiangyuan District,http://jy.cbs.gov.cn/
171,Jilin,Baishan City,Linjiang City,http://bs.jl.gov.cn/BsWebCms/site/ljscms/
172,Jilin,Baishan City,Jingyu County,http://jyx.cbs.gov.cn/
173,Jilin,Baishan City,Fusong County,http://www.fusong.gov.cn/
174,Jilin,Baishan City,Changbai Korean Autonomous County,http://www.changbai.gov.cn/
175,Jilin,Songyuan City,Ningjiang District,http://www.ningjiang.gov.cn/
176,Jilin,Songyuan City,Qian'an County,http://www.jlqa.gov.cn/
177,Jilin,Songyuan City,Changling County,http://jlcl.gov.cn/
178,Jilin,Songyuan City,Fuyu County,http://www.jlfy.gov.cn/
179,Jilin,Songyuan City,Qian Gorlos Mongol Autonomous County,http://www.qianguo.gov.cn/
180,Jilin,Baicheng City,Taobei District,http://www.bctb.gov.cn/index.asp
181,Jilin,Baicheng City,Da'an City,http://www.daan.gov.cn/
182,Jilin,Baicheng City,Taonan City,http://www.taonan.gov.cn/
183,Jilin,Baicheng City,Zhenlai County,http://www.jlzhenlai.gov.cn/
184,Jilin,Baicheng City,Tongyu County,http://www.tongyu.gov.cn/
185,Jilin,Yanbian Korean Autonomous Prefecture,Yanji City,http://www.yanji.gov.cn/
186,Jilin,Yanbian Korean Autonomous Prefecture,Tumen City,http://www.tumen.gov.cn/
187,Jilin,Yanbian Korean Autonomous Prefecture,Dunhua City,http://gov.dh.jl.cn/
188,Jilin,Yanbian Korean Autonomous Prefecture,Longjing City,http://www.longjing.gov.cn/
189,Jilin,Yanbian Korean Autonomous Prefecture,Hunchun City,http://www.hunchun.gov.cn/
190,Jilin,Yanbian Korean Autonomous Prefecture,Helong City,http://www.helong.gov.cn/
191,Jilin,Yanbian Korean Autonomous Prefecture,Antu County,http://www.antu.gov.cn/
192,Jilin,Yanbian Korean Autonomous Prefecture,Wangqing County,http://www.wangqing.gov.cn/
193,Liaoning,Shenyang City,Shenhe District,http://www.shenhe.gov.cn/
194,Liaoning,Shenyang City,Heping District,http://www.syhp.gov.cn/
195,Liaoning,Shenyang City,Dadong District,http://www.sydd.gov.cn/
196,Liaoning,Shenyang City,Huanggu District,http://www.syhg.gov.cn/
197,Liaoning,Shenyang City,Tiexi District,http://www.tiexi.gov.cn/
198,Liaoning,Shenyang City,Sujiatun District,http://www.sjtinfo.com/
199,Liaoning,Shenyang City,Dongling District,http://www.sydl.gov.cn/
200,Liaoning,Shenyang City,Shenbei New District,http://218.25.36.210:8020/
201,Liaoning,Shenyang City,Yuhong District,http://www.syyh.gov.cn/
202,Liaoning,Shenyang City,Xinmin City,http://www.xinmin.gov.cn/
203,Liaoning,Shenyang City,Liaozhong County,http://www.liaozhong.gov.cn/
204,Liaoning,Shenyang City,Kangping County,http://www.kangping.gov.cn/
205,Liaoning,Shenyang City,Faku County,http://www.faku.gov.cn/
206,Liaoning,Chaoyang City,Shuangta District,http://www.zgcy.gov.cn/
207,Liaoning,Chaoyang City,Longcheng District,http://www.cylc.gov.cn/
208,Liaoning,Chaoyang City,Beipiao City,http://www.bp.gov.cn/
209,Liaoning,Chaoyang City,Lingyuan City,http://www.cly.gov.cn/
210,Liaoning,Chaoyang City,Chaoyang County,http://www.cyx.gov.cn/
211,Liaoning,Chaoyang City,Jianping County,http://www.lnjp.gov.cn/
212,Liaoning,Chaoyang City,Harqin Left Mongol Autonomous County,http://www.kazuo.gov.cn/kzxzh/cc/index.asp
213,Liaoning,Fuxin City,Haizhou District,http://hzq.fuxin.gov.cn/
214,Liaoning,Fuxin City,Xinqiu District,http://xqq.fuxin.gov.cn/
215,Liaoning,Fuxin City,Taiping District,http://tpq.fuxin.gov.cn/
216,Liaoning,Fuxin City,Qinghemen District,http://www.fxqhm.com/
217,Liaoning,Fuxin City,Xihe District,http://xhq.fuxin.gov.cn/
218,Liaoning,Fuxin City,Zhangwu County,http://www.lnzw.com.cn/
219,Liaoning,Fuxin City,Fuxin Mongol Autonomous County,http://www.fuxin.gov.cn/
220,Liaoning,Tieling City,Yinzhou District,http://www.tieling.gov.cn/
221,Liaoning,Tieling City,Qinghe District,http://www.lntlqh.gov.cn/
222,Liaoning,Tieling City,Diaobingshan City,http://www.lndbss.gov.cn/
223,Liaoning,Tieling City,Kaiyuan City,http://www.lnky.gov.cn/
224,Liaoning,Tieling City,Tieling County,http://www.tielingxian.gov.cn/
225,Liaoning,Tieling City,Xifeng County,http://www.lntlxf.gov.cn/
226,Liaoning,Tieling City,Changtu County,http://www.changtu.gov.cn
227,Liaoning,Fushun City,Shuncheng District,http://www.fssc.gov.cn/
228,Liaoning,Fushun City,Xinfu District,
229,Liaoning,Fushun City,Dongzhou District,
230,Liaoning,Fushun City,Wanghua District,http://www.fswhjy.gov.cn/view.asp?keyno=113
231,Liaoning,Fushun City,Fushun County,http://www.lnfsx.gov.cn/
232,Liaoning,Fushun City,Xinbin Manchu Autonomous County,
233,Liaoning,Fushun City,Qingyuan Manchu Autonomous County,http://www.qingyuan.gov.cn/
234,Liaoning,Benxi City,Pingshan District,http://www.pingshan.gov.cn/
235,Liaoning,Benxi City,Xihu District,http://www.xihuqu.gov.cn/
236,Liaoning,Benxi City,Mingshan District,http://www.mingshan.gov.cn/
237,Liaoning,Benxi City,Nanfen District,http://www.nanfen.gov.cn/
238,Liaoning,Benxi City,Benxi Manchu Autonomous County,http://www.bx.gov.cn/
239,Liaoning,Benxi City,Huanren Manchu Autonomous County,http://www.hr.gov.cn/
240,Liaoning,Liaoyang City,Baita District,http://www.lybtq.gov.cn/
241,Liaoning,Liaoyang City,Wensheng District,http://www.wensheng.gov.cn/
242,Liaoning,Liaoyang City,Hongwei District,http://www.lyhw.gov.cn/
243,Liaoning,Liaoyang City,Gongchangling District,http://www.lygcl.gov.cn/
244,Liaoning,Liaoyang City,Taizihe District,http://taizihe.gov.cn/
245,Liaoning,Liaoyang City,Dengta City,http://www.dts.gov.cn/
246,Liaoning,Liaoyang City,Liaoyang County,http://liaoyangxian.gov.cn/
247,Liaoning,Anshan City,Tiedong District,http://www.tiedong.gov.cn/
248,Liaoning,Anshan City,Tiexi District,http://www.astxqzf.gov.cn/
249,Liaoning,Anshan City,Lishan District,http://www.lishan.gov.cn/
250,Liaoning,Anshan City,Qianshan District,http://www.qianshan.gov.cn/
251,Liaoning,Anshan City,Haicheng City,http://www.haicheng.gov.cn/
252,Liaoning,Anshan City,Tai'an County,http://www.lntaian.gov.cn/
253,Liaoning,Anshan City,Xiuyan Manchu Autonomous County,http://www.xiuyan.gov.cn/
254,Liaoning,Dandong City,Zhenxing District,http://www.zhenxing.gov.cn/
255,Liaoning,Dandong City,Yuanbao District,http://ybq.dandong.gov.cn/
256,Liaoning,Dandong City,Zhen'an District,http://www.zaq.gov.cn/
257,Liaoning,Dandong City,Fengcheng City,http://www.lnfc.gov.cn/
258,Liaoning,Dandong City,Donggang City,http://www.donggang.gov.cn/
259,Liaoning,Dandong City,Kuandian Manchu Autonomous County,http://www.lnkd.gov.cn/
260,Liaoning,Dalian City,Xigang District,http://www.dlxg.gov.cn/
261,Liaoning,Dalian City,Zhongshan District,http://www.dlzs.gov.cn/
262,Liaoning,Dalian City,Shahekou District,http://www.dlshk.gov.cn/
263,Liaoning,Dalian City,Ganjingzi District,http://www.gjz.gov.cn/
264,Liaoning,Dalian City,Lushunkou District,http://www.dllsk.gov.cn/
265,Liaoning,Dalian City,Jinzhou District,http://www.dljz.gov.cn/
266,Liaoning,Dalian City,Wafangdian City,http://www.dlwfd.gov.cn/
267,Liaoning,Dalian City,Pulandian City,http://www.dlpld.gov.cn/
268,Liaoning,Dalian City,Zhuanghe City,http://www.dlzh.gov.cn/
269,Liaoning,Dalian City,Changhai County,http://changhai.dl.gov.cn/
270,Liaoning,Yingkou City,Zhanqian District,http://www.ykzq.gov.cn/
271,Liaoning,Yingkou City,Xishi District,http://www.ykxs.gov.cn/
272,Liaoning,Yingkou City,Bayuquan District,http://www.ykdz.gov.cn/
273,Liaoning,Yingkou City,Laobian District,http://www.laobian.gov.cn/
274,Liaoning,Yingkou City,Dashiqiao City,http://www.dsq.gov.cn/
275,Liaoning,Yingkou City,Gaizhou City,http://www.gaizhou.gov.cn/
276,Liaoning,Panjin City,Xinglongtai District,http://www.xlt.gov.cn/
277,Liaoning,Panjin City,Shuangtaizi District,http://www.stq.gov.cn/
278,Liaoning,Panjin City,Dawa County,http://www.dawa.gov.cn/
279,Liaoning,Panjin City,Panshan County,http://www.panshan.gov.cn/
280,Liaoning,Jinzhou City,Taihe District,http://www.jzjjjb.gov.cn/
281,Liaoning,Jinzhou City,Guta District,
282,Liaoning,Jinzhou City,Linghe District,http://www.jzlhqzf.gov.cn/
283,Liaoning,Jinzhou City,Linghai City,http://www.lnlh.gov.cn/
284,Liaoning,Jinzhou City,Beizhen City,http://www.bzs.gov.cn/
285,Liaoning,Jinzhou City,Heishan County,http://www.heishan.gov.cn/
286,Liaoning,Jinzhou City,Yi County,http://www.lnyx.gov.cn/
287,Liaoning,Huludao City,Longgang District,http://www.lnsp.gov.cn/sxq/hld/lg/
288,Liaoning,Huludao City,Lianshan District,http://www.lianshan.gov.cn/
289,Liaoning,Huludao City,Nanpiao District,http://www.nanpiao.gov.cn/
290,Liaoning,Huludao City,Xingcheng City,http://www.xc-online.gov.cn/
291,Liaoning,Huludao City,Suizhong County,http://www.suizhong.gov.cn/
292,Liaoning,Huludao City,Jianchang County,http://jianchang.678114.com/
293,Qinghai,Xining City,Chengzhong District,http://www.xnczq.gov.cn/
294,Qinghai,Xining City,Chengdong District,http://xncdq.xining.gov.cn/
295,Qinghai,Xining City,Chengxi District,http://www.xncx.gov.cn/
296,Qinghai,Xining City,Chengbei District,http://www.xncb.gov.cn/
297,Qinghai,Xining City,Datong Hui and Tu Autonomous County,http://www.datong.gov.cn/
298,Qinghai,Xining City,Huangyuan County,http://www.qhhy.gov.cn/
299,Qinghai,Xining City,Huangzhong County,http://www.qhhz.gov.cn/
300,Qinghai,Haidong Prefecture,Ping'an County,http://www.hdpa.gov.cn/
301,Qinghai,Haidong Prefecture,Ledu County,http://www.ledu.gov.cn/
302,Qinghai,Haidong Prefecture,Minhe Hui and Tu Autonomous County,http://www.haidong.gov.cn/minhe/
303,Qinghai,Haidong Prefecture,Huzhu Tu Autonomous County,http://www.qh.xinhuanet.com/hz/
304,Qinghai,Haidong Prefecture,Hualong Hui Autonomous County,http://www.hdhl.gov.cn/
305,Qinghai,Haidong Prefecture,Xunhua Salar Autonomous County,http://www.qh.xinhuanet.com/xhxr/zfwq.htm
306,Qinghai,Haibei Tibetan Autonomous Prefecture,Haiyan County,http://www.qh.xinhuanet.com/haiyan/index.htm
307,Qinghai,Haibei Tibetan Autonomous Prefecture,Qilian County,http://www.qh.xinhuanet.com/qlx/zfwq.htm
308,Qinghai,Haibei Tibetan Autonomous Prefecture,Gangca County,http://www.qinghai.xinhua.org/gangcha/
309,Qinghai,Haibei Tibetan Autonomous Prefecture,Menyuan Hui Autonomous County,http://www.qh.xinhuanet.com/myx/zfwq.htm
310,Qinghai,Hainan Tibetan Autonomous Prefecture,Gonghe County,http://www.qh.xinhuanet.com/ghx/zfwq.htm
311,Qinghai,Hainan Tibetan Autonomous Prefecture,Tongde County,http://www.tdx.gov.cn/
312,Qinghai,Hainan Tibetan Autonomous Prefecture,Guide County,http://www.qh.xinhuanet.com/old/qinghai/gdx/index.htm
313,Qinghai,Hainan Tibetan Autonomous Prefecture,Xinghai County,http://www.qh.xinhuanet.com/xhx/zfwq.htm
314,Qinghai,Hainan Tibetan Autonomous Prefecture,Guinan County,http://www.qh.xinhuanet.com/gnx/zfwq.htm
315,Qinghai,Huangnan Tibetan Autonomous Prefecture,Tongren County,http://www.qh.xinhua.org/tongren/
316,Qinghai,Huangnan Tibetan Autonomous Prefecture,Jainca County,http://www.qh.xinhuanet.com/jzx/zfwq.htm
317,Qinghai,Huangnan Tibetan Autonomous Prefecture,Zêkog County,
318,Qinghai,Huangnan Tibetan Autonomous Prefecture,Henan Mongol Autonomous County,http://www.qh.xinhuanet.com/hnx/
319,Qinghai,Golog Tibetan Autonomous Prefecture,Maqên County,http://www.guoluo.gov.cn/
320,Qinghai,Golog Tibetan Autonomous Prefecture,Baima County,http://bm.guoluo.gov.cn/
321,Qinghai,Golog Tibetan Autonomous Prefecture,Gadê County,http://gd.guoluo.gov.cn/
322,Qinghai,Golog Tibetan Autonomous Prefecture,Darlag County,http://www.qh.xinhuanet.com/dari/
323,Qinghai,Golog Tibetan Autonomous Prefecture,Jigzhi County,http://www.qh.xinhua.org/jiuzhi/
324,Qinghai,Golog Tibetan Autonomous Prefecture,Madoi County,http://www.maduo.gov.cn/
325,Qinghai,Yushu Tibetan Autonomous Prefecture,Yushu County,http://www.qhys.gov.cn/
326,Qinghai,Yushu Tibetan Autonomous Prefecture,Zadoi County,http://www.qh.xinhuanet.com/zaduo/
327,Qinghai,Yushu Tibetan Autonomous Prefecture,Chindu County,http://www.qh.xinhuanet.com/chengduo/
328,Qinghai,Yushu Tibetan Autonomous Prefecture,Zhidoi County,http://www.qh.xinhuanet.com/zhiduo/
329,Qinghai,Yushu Tibetan Autonomous Prefecture,Nangqên County,http://www.qh.xinhuanet.com/nangqian/index.htm
330,Qinghai,Yushu Tibetan Autonomous Prefecture,Qumarleb County,http://www.qh.xinhuanet.com/qumalai/
331,Qinghai,Haixi Mongol and Tibetan Autonomous Prefecture,Delingha City,http://www.haixi.gov.cn/
332,Qinghai,Haixi Mongol and Tibetan Autonomous Prefecture,Golmud City,http://www.gem.gov.cn/
333,Qinghai,Haixi Mongol and Tibetan Autonomous Prefecture,Wulan County,http://www.haixi.gov.cn/
334,Qinghai,Haixi Mongol and Tibetan Autonomous Prefecture,Dulan County,http://www.qh.xinhuanet.com/dlzf/
335,Qinghai,Haixi Mongol and Tibetan Autonomous Prefecture,Tianjun County,http://www.qh.xinhuanet.com/tianjun/index.htm
336,Gansu,Lanzhou City,Chengguan District,http://chengguan.gansu.gov.cn/
337,Gansu,Lanzhou City,Qilihe District,http://www.gs.xinhuanet.com/dfpd/frship/qlhqzf.htm
338,Gansu,Lanzhou City,Xigu District,http://www.xglzgs.gov.cn/
339,Gansu,Lanzhou City,Anning District,http://www.gs.xinhuanet.com/dfpd/lz-anningqu/shouye.htm
340,Gansu,Lanzhou City,Honggu District,http://www.honggu.gov.cn/
